Municípios,Gentílico,Índice de Desenvolvimento Humano Municipal (IDHM),PIB per capita,População no último censo,Hierarquia urbana,Área urbanizada,Densidade demográfica,Urbanização de vias públicas,Arborização de vias públicas,Região imediata,Mesorregião
Abaiara,cearense,628,"9859,67 R$",10038 pessoas,Centro Local (5),"3,19 km²","55,51 habitante por quilômetro quadrado",0 %,"92,5 %",Arranjo Populacional de Juazeiro do Norte/CE - Capital Regional B (2B),Juazeiro do Norte
Acarape,cearense,606,"11888,66 R$",14027 pessoas,Centro Local (5) - Município integrante do Arranjo Populacional de Redenção - Acarape/CE,"2,28 km²","107,90 habitante por quilômetro quadrado","1,6 %","69,2 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Fortaleza
Acaraú,cearense,601,"16051,99 R$",65264 pessoas,Centro Local (5),"16,33 km²","77,47 habitante por quilômetro quadrado","1,7 %","93,9 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Sobral
Acopiara,cearense,595,"10322,74 R$",44962 pessoas,Centro de Zona B (4B),"5,46 km²","19,95 habitante por quilômetro quadrado","5,3 %","90,6 %",Iguatu - Centro Subregional A (3A),Iguatu
Aiuaba,cearense,569,"8621,26 R$",14076 pessoas,Centro Local (5),"2,07 km²","5,77 habitante por quilômetro quadrado","2,3 %","93,2 %",Arranjo Populacional de Juazeiro do Norte/CE - Capital Regional B (2B),Juazeiro do Norte
Alcântaras,cearense,600,"8289,87 R$",11369 pessoas,Centro Local (5),"2,76 km²","83,74 habitante por quilômetro quadrado","3,1 %","98,4 %",Arranjo Populacional de Sobral/CE - Capital Regional C (2C),Sobral
Altaneira,cearense,602,"9680,24 R$",6782 pessoas,Centro Local (5),"1,48 km²","93,32 habitante por quilômetro quadrado","15,7 %",38 %,Arranjo Populacional de Juazeiro do Norte/CE - Capital Regional B (2B),Juazeiro do Norte
Alto Santo,cearense,601,"14447,21 R$",14155 pessoas,Centro Local (5),"2,10 km²","12,34 habitante por quilômetro quadrado",0 %,"83,6 %",Limoeiro do Norte - Centro Subregional B (3B),Quixadá
Amontada,cearense,606,"15057,63 R$",42156 pessoas,Centro Local (5),"7,55 km²","35,88 habitante por quilômetro quadrado","0,9 %","82,9 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Fortaleza
Antonina do Norte,cearense,599,"10666,5 R$",7245 pessoas,Centro Local (5),"1,50 km²","27,90 habitante por quilômetro quadrado","1,3 %","88,1 %",Arranjo Populacional de Juazeiro do Norte/CE - Capital Regional B (2B),Juazeiro do Norte
Apuiarés,cearense,618,"8206,35 R$",12928 pessoas,Centro Local (5),"2,22 km²","23,77 habitante por quilômetro quadrado","15,1 %","96,2 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Fortaleza
Aquiraz,cearense,641,"47245,19 R$",80645 pessoas,Metrópole (1C) - Município integrante do Arranjo Populacional de Fortaleza/CE,"43,60 km²","167,93 habitante por quilômetro quadrado","1,4 %","81,9 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Fortaleza
Aracati,cearense,655,"22637,56 R$",75113 pessoas,Centro Subregional B (3B),"19,83 km²","61,21 habitante por quilômetro quadrado","1,6 %","82,9 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Quixadá
Aracoiaba,cearense,615,"10015,85 R$",25553 pessoas,Centro Local (5),"6,64 km²","39,68 habitante por quilômetro quadrado","3,8 %","95,3 %",Baturité - Centro Subregional B (3B),Fortaleza
Ararendá,cearense,590,"9722,66 R$",11096 pessoas,Centro Local (5),"2,43 km²","32,42 habitante por quilômetro quadrado",6 %,"89,4 %",Crateús - Centro Subregional B (3B),Crateús
Araripe,cearense,564,"9581,32 R$",19783 pessoas,Centro Local (5),"3,43 km²","18,03 habitante por quilômetro quadrado","5,8 %","80,8 %",Arranjo Populacional de Juazeiro do Norte/CE - Capital Regional B (2B),Juazeiro do Norte
Aratuba,cearense,622,"12896,07 R$",11224 pessoas,Centro Local (5),"1,10 km²","93,72 habitante por quilômetro quadrado",0 %,"68,8 %",Baturité - Centro Subregional B (3B),Fortaleza
Arneiroz,cearense,618,"8947,96 R$",7429 pessoas,Centro Local (5),"1,26 km²","6,95 habitante por quilômetro quadrado","2,6 %","95,4 %",Tauá - Centro de Zona B (4B),Crateús
Assaré,cearense,600,"10080,26 R$",21697 pessoas,Centro Local (5),"3,33 km²","18,78 habitante por quilômetro quadrado","5,7 %","91,8 %",Arranjo Populacional de Juazeiro do Norte/CE - Capital Regional B (2B),Juazeiro do Norte
Aurora,cearense,605,"8824,53 R$",23714 pessoas,Centro Local (5),"2,73 km²","26,77 habitante por quilômetro quadrado","14,4 %",93 %,Arranjo Populacional de Juazeiro do Norte/CE - Capital Regional B (2B),Juazeiro do Norte
Baixio,cearense,627,"10690,19 R$",5704 pessoas,Centro Local (5),"0,68 km²","39,19 habitante por quilômetro quadrado","11,5 %","98,6 %",Cajazeiras - Centro Subregional A (3A),Iguatu
Banabuiú,cearense,606,"14199,25 R$",17195 pessoas,Centro Local (5),"2,09 km²","15,91 habitante por quilômetro quadrado","1,7 %",88 %,Quixadá - Centro Subregional B (3B),Quixadá
Barbalha,cearense,683,"21815,78 R$",75033 pessoas,Capital Regional B (2B) - Município integrante do Arranjo Populacional de Juazeiro do Norte/CE,"20,64 km²","123,38 habitante por quilômetro quadrado","8,9 %","94,7 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Juazeiro do Norte
Barreira,cearense,616,"10566,4 R$",22392 pessoas,Centro Local (5),"6,98 km²","86,12 habitante por quilômetro quadrado","6,4 %","87,4 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Fortaleza
Barro,cearense,599,"10599,42 R$",19381 pessoas,Centro Local (5),"3,34 km²","27,25 habitante por quilômetro quadrado","0,4 %",92 %,Mauriti - Centro de Zona B (4B),Juazeiro do Norte
Barroquinha,cearense,571,"8848,31 R$",14567 pessoas,Centro Local (5),"2,84 km²","37,78 habitante por quilômetro quadrado","1,4 %",39 %,Camocim - Centro Subregional B (3B),Sobral
Baturité,cearense,619,"12408,24 R$",35218 pessoas,Centro Subregional B (3B),"6,74 km²","112,13 habitante por quilômetro quadrado","5,1 %",93 %,Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Fortaleza
Beberibe,cearense,638,"19497,48 R$",53114 pessoas,Centro Local (5),"22,04 km²","33,26 habitante por quilômetro quadrado","0,4 %",84 %,Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Fortaleza
Bela Cruz,cearense,623,"9809,26 R$",32775 pessoas,Centro Local (5),"5,58 km²","38,92 habitante por quilômetro quadrado","1,3 %",91 %,Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Sobral
Boa Viagem,cearense,598,"9861,34 R$",50411 pessoas,Centro Local (5),"5,61 km²","17,78 habitante por quilômetro quadrado","4,1 %","89,3 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Fortaleza
Brejo Santo,cearense,647,"16277,2 R$",51090 pessoas,Centro de Zona A (4A),"13,00 km²","78,04 habitante por quilômetro quadrado","6,7 %","86,9 %",Arranjo Populacional de Juazeiro do Norte/CE - Capital Regional B (2B),Juazeiro do Norte
Camocim,cearense,620,"13087,13 R$",62326 pessoas,Centro Subregional B (3B),"10,16 km²","55,63 habitante por quilômetro quadrado","1,4 %","78,3 %",Arranjo Populacional de Sobral/CE - Capital Regional C (2C),Sobral
Campos Sales,cearense,630,"10626,15 R$",25135 pessoas,Centro Local (5),"4,63 km²","23,22 habitante por quilômetro quadrado","2,1 %","91,8 %",Arranjo Populacional de Juazeiro do Norte/CE - Capital Regional B (2B),Juazeiro do Norte
Canindé,cearense,612,"11761,86 R$",74174 pessoas,Centro de Zona B (4B),"10,20 km²","24,46 habitante por quilômetro quadrado","6,1 %","97,3 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Fortaleza
Capistrano,cearense,611,"9916,38 R$",17254 pessoas,Centro Local (5),"3,58 km²","76,16 habitante por quilômetro quadrado","4,3 %","59,3 %",Baturité - Centro Subregional B (3B),Fortaleza
Caridade,cearense,592,"8090,43 R$",16377 pessoas,Centro Local (5),"2,71 km²","17,68 habitante por quilômetro quadrado","0,8 %",78 %,Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Fortaleza
Cariré,cearense,596,"10455,04 R$",17632 pessoas,Centro Local (5),"3,85 km²","23,34 habitante por quilômetro quadrado","0,5 %","88,8 %",Arranjo Populacional de Sobral/CE - Capital Regional C (2C),Sobral
Caririaçu,cearense,578,"9372,28 R$",26320 pessoas,Centro Local (5),"5,40 km²","41,50 habitante por quilômetro quadrado",3 %,"86,2 %",Arranjo Populacional de Juazeiro do Norte/CE - Capital Regional B (2B),Juazeiro do Norte
Cariús,cearense,597,"9678,31 R$",17015 pessoas,Centro Local (5) - Município integrante do Arranjo Populacional de Jucás - Cariús/CE,"1,87 km²","16,42 habitante por quilômetro quadrado","3,2 %","92,9 %",Iguatu - Centro Subregional A (3A),Iguatu
Carnaubal,cearense,593,"9388,72 R$",17210 pessoas,Centro Local (5),"4,94 km²","47,38 habitante por quilômetro quadrado",0 %,"95,9 %",São Benedito - Centro de Zona A (4A),Sobral
Cascavel,cearense,646,14777 R$,72720 pessoas,Centro Local (5),"25,81 km²","86,77 habitante por quilômetro quadrado","2,8 %","82,8 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Fortaleza
Catarina,cearense,618,"7324,19 R$",10243 pessoas,Centro Local (5),"1,20 km²","20,98 habitante por quilômetro quadrado","7,6 %","93,7 %",Iguatu - Centro Subregional A (3A),Iguatu
Catunda,cearense,609,"10766,7 R$",10444 pessoas,Centro Local (5),"1,71 km²","13,32 habitante por quilômetro quadrado","1,4 %","75,9 %",Santa Quitéria - Centro de Zona B (4B),Sobral
Caucaia,cearense,682,"28229,51 R$",355679 pessoas,Metrópole (1C) - Município integrante do Arranjo Populacional de Fortaleza/CE,"74,59 km²","290,77 habitante por quilômetro quadrado",5 %,"51,6 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Fortaleza
Cedro,cearense,627,"9656,59 R$",22344 pessoas,Centro Local (5),"2,73 km²","30,61 habitante por quilômetro quadrado","11,4 %","96,2 %",Arranjo Populacional de Juazeiro do Norte/CE - Capital Regional B (2B),Iguatu
Chaval,cearense,586,"8413,49 R$",12462 pessoas,Centro Local (5),"2,13 km²","52,53 habitante por quilômetro quadrado",3 %,"60,4 %",Parnaíba - Centro Subregional A (3A),Sobral
Choró,cearense,585,"13153,2 R$",12113 pessoas,Centro Local (5),"0,94 km²","14,86 habitante por quilômetro quadrado","6,4 %",85 %,Quixadá - Centro Subregional B (3B),Quixadá
Chorozinho,cearense,604,"12830,19 R$",20163 pessoas,Centro Local (5),"5,04 km²","68,02 habitante por quilômetro quadrado","1,9 %","95,9 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Fortaleza
Coreaú,cearense,610,"9643,95 R$",20953 pessoas,Centro Local (5),"3,12 km²","27,92 habitante por quilômetro quadrado","2,6 %","90,1 %",Arranjo Populacional de Sobral/CE - Capital Regional C (2C),Sobral
Crateús,cearense,644,"12661,3 R$",76390 pessoas,Centro Subregional B (3B),"14,92 km²","25,62 habitante por quilômetro quadrado","3,2 %","97,6 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Crateús
Crato,cearense,713,"13976,14 R$",131050 pessoas,Capital Regional B (2B) - Município integrante do Arranjo Populacional de Juazeiro do Norte/CE,"32,21 km²","115,14 habitante por quilômetro quadrado","3,5 %","58,3 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Juazeiro do Norte
Croatá,cearense,590,12331 R$,17481 pessoas,Centro Local (5),"4,70 km²","25,10 habitante por quilômetro quadrado",0 %,"98,1 %",Guaraciaba do Norte - Centro de Zona B (4B),Sobral
Cruz,cearense,632,"14834,67 R$",29761 pessoas,Centro Local (5),"8,96 km²","88,60 habitante por quilômetro quadrado","3,1 %","95,3 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Sobral
Deputado Irapuan Pinheiro,cearense,609,"10402,46 R$",8932 pessoas,Centro Local (5),"1,07 km²","18,96 habitante por quilômetro quadrado","0,7 %","95,5 %",Acopiara - Centro de Zona B (4B),Quixadá
Ereré,cearense,610,"11123,49 R$",6474 pessoas,Centro Local (5),"0,73 km²","17,84 habitante por quilômetro quadrado","47,3 %",87 %,Pau dos Ferros - Centro Subregional B (3B),Quixadá
Eusébio,cearense,701,"65008,58 R$",74170 pessoas,Metrópole (1C) - Município integrante do Arranjo Populacional de Fortaleza/CE,"27,72 km²","941,03 habitante por quilômetro quadrado","1,1 %","58,5 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Fortaleza
Farias Brito,cearense,633,"10462,89 R$",18217 pessoas,Centro Local (5),"3,08 km²","34,34 habitante por quilômetro quadrado","2,1 %","88,4 %",Arranjo Populacional de Juazeiro do Norte/CE - Capital Regional B (2B),Juazeiro do Norte
Forquilha,cearense,644,"12356,43 R$",24173 pessoas,Capital Regional C (2C) - Município integrante do Arranjo Populacional de Sobral/CE,"2,95 km²","42,50 habitante por quilômetro quadrado","18,1 %","97,9 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Sobral
Fortaleza,cearense,754,"27164,45 R$",2428708 pessoas,Metrópole (1C) - Município integrante do Arranjo Populacional de Fortaleza/CE,"253,69 km²","7775,52 habitante por quilômetro quadrado","13,2 %","74,8 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Fortaleza
Fortim,cearense,624,"18625,44 R$",17294 pessoas,Centro Local (5),"6,02 km²","60,68 habitante por quilômetro quadrado","0,8 %","75,1 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Quixadá
Frecheirinha,cearense,604,"19437,91 R$",15657 pessoas,Centro Local (5),"3,50 km²","74,46 habitante por quilômetro quadrado","5,8 %","98,5 %",Arranjo Populacional de Sobral/CE - Capital Regional C (2C),Sobral
General Sampaio,cearense,568,"11196,45 R$",6734 pessoas,Centro Local (5),"0,63 km²","29,23 habitante por quilômetro quadrado",3 %,"97,4 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Fortaleza
Graça,cearense,570,"8998,32 R$",13801 pessoas,Centro Local (5),"2,13 km²","53,30 habitante por quilômetro quadrado","0,7 %","94,2 %",Arranjo Populacional de Sobral/CE - Capital Regional C (2C),Sobral
Granja,cearense,559,"8508,38 R$",53344 pessoas,Centro Local (5),"7,98 km²","20,03 habitante por quilômetro quadrado","1,8 %","84,5 %",Arranjo Populacional de Sobral/CE - Capital Regional C (2C),Sobral
Granjeiro,cearense,585,"10730,92 R$",4841 pessoas,Centro Local (5),"0,91 km²","43,41 habitante por quilômetro quadrado","12,4 %","95,8 %",Arranjo Populacional de Juazeiro do Norte/CE - Capital Regional B (2B),Juazeiro do Norte
Groaíras,cearense,633,"9872,09 R$",10910 pessoas,Centro Local (5),"1,73 km²","70,08 habitante por quilômetro quadrado",0 %,89 %,Arranjo Populacional de Sobral/CE - Capital Regional C (2C),Sobral
Guaiúba,cearense,617,"8751,83 R$",24325 pessoas,Centro Local (5),"3,52 km²","95,00 habitante por quilômetro quadrado","4,9 %","58,8 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Fortaleza
Guaraciaba do Norte,cearense,609,"16353,68 R$",42053 pessoas,Centro de Zona B (4B),"11,68 km²","67,33 habitante por quilômetro quadrado","5,5 %","85,7 %",Arranjo Populacional de Sobral/CE - Capital Regional C (2C),Sobral
Guaramiranga,cearense,637,"15847,79 R$",5654 pessoas,Centro Local (5),"1,25 km²","62,26 habitante por quilômetro quadrado","6,9 %","82,3 %",Baturité - Centro Subregional B (3B),Fortaleza
Hidrolândia,cearense,597,"9193,31 R$",17855 pessoas,Centro Local (5),"2,93 km²","19,27 habitante por quilômetro quadrado","8,1 %","94,4 %",Arranjo Populacional de Sobral/CE - Capital Regional C (2C),Sobral
Horizonte,cearense,658,"30381,03 R$",74755 pessoas,Centro de Zona A (4A),"19,96 km²","465,60 habitante por quilômetro quadrado","1,1 %","69,8 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Fortaleza
Ibaretama,cearense,577,"9881,62 R$",11956 pessoas,Centro Local (5),"1,66 km²","13,60 habitante por quilômetro quadrado","3,7 %","87,6 %",Quixadá - Centro Subregional B (3B),Quixadá
Ibiapina,cearense,608,"13850,18 R$",23965 pessoas,Centro Local (5),"5,16 km²","57,87 habitante por quilômetro quadrado",2 %,"82,1 %",Tianguá - Centro Subregional B (3B),Sobral
Ibicuitinga,cearense,606,"9815,44 R$",11611 pessoas,Centro Local (5),"2,28 km²","27,39 habitante por quilômetro quadrado",7 %,"86,1 %",Quixadá - Centro Subregional B (3B),Quixadá
Icapuí,cearense,616,"20364,73 R$",21433 pessoas,Centro Local (5),"10,47 km²","50,86 habitante por quilômetro quadrado",0 %,"83,2 %",Aracati - Centro Subregional B (3B),Quixadá
Icó,cearense,606,"10797,31 R$",62642 pessoas,Centro de Zona A (4A),"11,61 km²","33,57 habitante por quilômetro quadrado","4,7 %","96,6 %",Iguatu - Centro Subregional A (3A),Iguatu
Iguatu,cearense,677,"18380,39 R$",98064 pessoas,Centro Subregional A (3A),"19,46 km²","98,83 habitante por quilômetro quadrado","12,3 %",92 %,Arranjo Populacional de Juazeiro do Norte/CE - Capital Regional B (2B),Iguatu
Independência,cearense,632,"11712,06 R$",24024 pessoas,Centro Local (5),"3,44 km²","7,46 habitante por quilômetro quadrado","2,5 %",96 %,Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Crateús
Ipaporanga,cearense,579,"9841,12 R$",11575 pessoas,Centro Local (5),"2,93 km²","16,42 habitante por quilômetro quadrado","0,4 %","83,7 %",Crateús - Centro Subregional B (3B),Crateús
Ipaumirim,cearense,606,"11469,63 R$",12083 pessoas,Centro Local (5),"1,36 km²","43,70 habitante por quilômetro quadrado",1 %,"96,8 %",Cajazeiras - Centro Subregional A (3A),Iguatu
Ipu,cearense,618,"12333,79 R$",41081 pessoas,Centro de Zona B (4B),"8,31 km²","65,62 habitante por quilômetro quadrado","5,5 %","96,1 %",Arranjo Populacional de Sobral/CE - Capital Regional C (2C),Sobral
Ipueiras,cearense,573,"8620,09 R$",36798 pessoas,Centro Local (5),"9,20 km²","24,81 habitante por quilômetro quadrado","1,9 %","91,9 %",Ipu - Centro de Zona B (4B),Sobral
Iracema,cearense,652,"13607,57 R$",14001 pessoas,Centro Local (5),"2,19 km²","16,68 habitante por quilômetro quadrado",0 %,"70,1 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Quixadá
Irauçuba,cearense,605,"9009,98 R$",23915 pessoas,Centro Local (5),"3,21 km²","16,31 habitante por quilômetro quadrado","14,1 %","94,8 %",Arranjo Populacional de Sobral/CE - Capital Regional C (2C),Fortaleza
Itaiçaba,cearense,656,"10482,61 R$",7536 pessoas,Centro Local (5),"2,06 km²","35,28 habitante por quilômetro quadrado","1,1 %","98,9 %",Aracati - Centro Subregional B (3B),Quixadá
Itaitinga,cearense,626,"32560,63 R$",64650 pessoas,Metrópole (1C) - Município integrante do Arranjo Populacional de Fortaleza/CE,"11,27 km²","420,66 habitante por quilômetro quadrado",0 %,"26,2 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Fortaleza
Itapajé,cearense,623,"11124,48 R$",46426 pessoas,Centro Subregional B (3B),"5,81 km²","107,42 habitante por quilômetro quadrado","5,5 %","82,3 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Fortaleza
Itapipoca,cearense,640,"13547,33 R$",131123 pessoas,Centro Subregional B (3B),"25,40 km²","81,93 habitante por quilômetro quadrado","5,3 %","85,5 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Fortaleza
Itapiúna,cearense,604,"8246,45 R$",17841 pessoas,Centro Local (5),"2,81 km²","30,07 habitante por quilômetro quadrado",9 %,74 %,Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Fortaleza
Itarema,cearense,606,"18001,79 R$",42957 pessoas,Centro Local (5),"9,94 km²","60,09 habitante por quilômetro quadrado","3,2 %",95 %,Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Sobral
Itatira,cearense,562,"7903,96 R$",20424 pessoas,Centro Local (5),"3,59 km²","24,62 habitante por quilômetro quadrado",0 %,"84,2 %",Canindé - Centro de Zona B (4B),Fortaleza
