Municípios,Gentílico,Índice de Desenvolvimento Humano Municipal (IDHM),PIB per capita,População no último censo,Hierarquia urbana,Área urbanizada,Densidade demográfica,Urbanização de vias públicas,Arborização de vias públicas,Região imediata,Mesorregião
Jaguaretama,cearense,612,"12498,97 R$",17232 pessoas,Centro Local (5),"2,66 km²","9,43 habitante por quilômetro quadrado","17,1 %","94,9 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Quixadá
Jaguaribara,cearense,618,"13298,99 R$",10356 pessoas,Centro Local (5),"3,20 km²","16,62 habitante por quilômetro quadrado",78 %,"84,9 %",Limoeiro do Norte - Centro Subregional B (3B),Quixadá
Jaguaribe,cearense,621,"16222,68 R$",33726 pessoas,Centro Local (5),"4,31 km²","17,97 habitante por quilômetro quadrado","0,3 %","95,1 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Quixadá
Jaguaruana,cearense,624,"16694,97 R$",31701 pessoas,Centro Local (5),"6,16 km²","37,10 habitante por quilômetro quadrado",0 %,94 %,Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Quixadá
Jardim,cearense,614,"10819,64 R$",27411 pessoas,Centro Local (5),"5,41 km²","50,30 habitante por quilômetro quadrado","9,1 %","74,1 %",Arranjo Populacional de Juazeiro do Norte/CE - Capital Regional B (2B),Juazeiro do Norte
Jati,cearense,651,"15917,63 R$",7861 pessoas,Centro Local (5),"1,98 km²","21,34 habitante por quilômetro quadrado","12,2 %","93,4 %",Brejo Santo - Centro de Zona A (4A),Juazeiro do Norte
Jijoca de Jericoacoara,cearense,652,"27106,16 R$",25555 pessoas,Centro Local (5),"7,90 km²","122,26 habitante por quilômetro quadrado","1,2 %","88,5 %",Arranjo Populacional de Sobral/CE - Capital Regional C (2C),Sobral
Juazeiro do Norte,cearense,694,"18381,08 R$",286120 pessoas,Capital Regional B (2B) - Município integrante do Arranjo Populacional de Juazeiro do Norte/CE,"51,44 km²","1105,62 habitante por quilômetro quadrado","11,6 %","89,6 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Juazeiro do Norte
Jucás,cearense,598,"12801,05 R$",23922 pessoas,Centro Local (5) - Município integrante do Arranjo Populacional de Jucás - Cariús/CE,"3,53 km²","25,44 habitante por quilômetro quadrado",4 %,"95,1 %",Iguatu - Centro Subregional A (3A),Iguatu
Lavras da Mangabeira,cearense,613,"10906,84 R$",30802 pessoas,Centro Local (5),"3,69 km²","32,59 habitante por quilômetro quadrado","8,3 %","95,7 %",Arranjo Populacional de Juazeiro do Norte/CE - Capital Regional B (2B),Juazeiro do Norte
Limoeiro do Norte,cearense,682,"23631,38 R$",59560 pessoas,Centro Subregional B (3B),"14,91 km²","80,00 habitante por quilômetro quadrado",2 %,"96,4 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Quixadá
Madalena,cearense,610,8728 R$,16896 pessoas,Centro Local (5),"2,89 km²","16,93 habitante por quilômetro quadrado","2,3 %","80,2 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Fortaleza
Maracanaú,cearense,686,"53410,24 R$",234509 pessoas,Metrópole (1C) - Município integrante do Arranjo Populacional de Fortaleza/CE,"46,49 km²","2231,91 habitante por quilômetro quadrado","8,1 %","70,2 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Fortaleza
Maranguape,cearense,659,"12527,08 R$",105093 pessoas,Metrópole (1C) - Município integrante do Arranjo Populacional de Fortaleza/CE,"14,42 km²","180,11 habitante por quilômetro quadrado","3,8 %","55,3 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Fortaleza
Marco,cearense,612,"14052,51 R$",25799 pessoas,Centro Local (5),"4,42 km²","44,98 habitante por quilômetro quadrado","6,8 %","83,2 %",Arranjo Populacional de Sobral/CE - Capital Regional C (2C),Sobral
Martinópole,cearense,599,"8444,53 R$",10846 pessoas,Centro Local (5),"2,19 km²","35,74 habitante por quilômetro quadrado","2,2 %","91,3 %",Arranjo Populacional de Sobral/CE - Capital Regional C (2C),Sobral
Massapê,cearense,616,"9626,56 R$",37697 pessoas,Centro Local (5),"6,57 km²","66,39 habitante por quilômetro quadrado","1,2 %","95,2 %",Arranjo Populacional de Sobral/CE - Capital Regional C (2C),Sobral
Mauriti,cearense,605,"10698,7 R$",45561 pessoas,Centro de Zona B (4B),"9,44 km²","42,22 habitante por quilômetro quadrado","2,8 %","91,5 %",Arranjo Populacional de Juazeiro do Norte/CE - Capital Regional B (2B),Juazeiro do Norte
Meruoca,cearense,618,"8445,56 R$",15157 pessoas,Centro Local (5),"4,57 km²","99,95 habitante por quilômetro quadrado","22,8 %","74,6 %",Arranjo Populacional de Sobral/CE - Capital Regional C (2C),Sobral
Milagres,cearense,628,"10477,64 R$",25900 pessoas,Centro Local (5),"6,73 km²","44,72 habitante por quilômetro quadrado","11,1 %","85,5 %",Arranjo Populacional de Juazeiro do Norte/CE - Capital Regional B (2B),Juazeiro do Norte
Milhã,cearense,626,"14874,7 R$",14123 pessoas,Centro Local (5),"1,12 km²","28,13 habitante por quilômetro quadrado",0 %,"87,9 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Quixadá
Miraíma,cearense,592,"8062,95 R$",14196 pessoas,Centro Local (5),"2,00 km²","20,03 habitante por quilômetro quadrado","4,2 %","96,2 %",Itapipoca - Centro Subregional B (3B),Fortaleza
Missão Velha,cearense,622,"14506,46 R$",36822 pessoas,Centro Local (5),"13,70 km²","60,04 habitante por quilômetro quadrado","2,2 %","85,6 %",Arranjo Populacional de Juazeiro do Norte/CE - Capital Regional B (2B),Juazeiro do Norte
Mombaça,cearense,582,"10174,82 R$",37735 pessoas,Centro de Zona B (4B),"3,82 km²","17,84 habitante por quilômetro quadrado","9,2 %","71,5 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Iguatu
Monsenhor Tabosa,cearense,610,"9308,34 R$",17149 pessoas,Centro Local (5),"2,63 km²","19,21 habitante por quilômetro quadrado","7,3 %","92,5 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Crateús
Morada Nova,cearense,610,"20731,68 R$",61443 pessoas,Centro Local (5),"11,69 km²","22,23 habitante por quilômetro quadrado","5,8 %","81,8 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Quixadá
Moraújo,cearense,581,"8555,95 R$",8254 pessoas,Centro Local (5),"0,93 km²","19,92 habitante por quilômetro quadrado","2,7 %","90,2 %",Arranjo Populacional de Sobral/CE - Capital Regional C (2C),Sobral
Morrinhos,cearense,588,"8462,73 R$",22753 pessoas,Centro Local (5),"4,74 km²","55,28 habitante por quilômetro quadrado",0 %,"92,4 %",Arranjo Populacional de Sobral/CE - Capital Regional C (2C),Sobral
Mucambo,cearense,607,"9016,67 R$",13666 pessoas,Centro Local (5),"2,15 km²","71,11 habitante por quilômetro quadrado","0,1 %",96 %,Arranjo Populacional de Sobral/CE - Capital Regional C (2C),Sobral
Mulungu,cearense,607,"11197,64 R$",10569 pessoas,Centro Local (5),"2,06 km²","107,90 habitante por quilômetro quadrado","4,6 %","69,1 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Fortaleza
Nova Olinda,cearense,625,"10341,85 R$",15399 pessoas,Centro Local (5),"3,35 km²","54,49 habitante por quilômetro quadrado","1,8 %","64,7 %",Arranjo Populacional de Juazeiro do Norte/CE - Capital Regional B (2B),Juazeiro do Norte
Nova Russas,cearense,614,"10371,24 R$",30699 pessoas,Centro Local (5),"6,61 km²","41,66 habitante por quilômetro quadrado",5 %,"94,7 %",Crateús - Centro Subregional B (3B),Crateús
Novo Oriente,cearense,605,"9854,38 R$",27545 pessoas,Centro Local (5),"5,26 km²","29,07 habitante por quilômetro quadrado","4,8 %","95,1 %",Crateús - Centro Subregional B (3B),Crateús
Ocara,cearense,594,"10972,95 R$",24493 pessoas,Centro Local (5),"7,37 km²","32,10 habitante por quilômetro quadrado","2,2 %","95,8 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Fortaleza
Orós,cearense,636,"10256,74 R$",19675 pessoas,Centro Local (5),"3,02 km²","34,07 habitante por quilômetro quadrado","5,3 %","94,2 %",Icó - Centro de Zona A (4A),Iguatu
Pacajus,cearense,659,"18349,45 R$",70983 pessoas,Centro Subregional B (3B),"16,06 km²","283,59 habitante por quilômetro quadrado",0 %,"80,9 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Fortaleza
Pacatuba,cearense,675,"14421,49 R$",81524 pessoas,Metrópole (1C) - Município integrante do Arranjo Populacional de Fortaleza/CE,"14,54 km²","611,88 habitante por quilômetro quadrado","8,8 %","45,7 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Fortaleza
Pacoti,cearense,635,"12049,56 R$",11186 pessoas,Centro Local (5),"2,10 km²","99,49 habitante por quilômetro quadrado","10,8 %","83,2 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Fortaleza
Pacujá,cearense,621,"9130,3 R$",6175 pessoas,Centro Local (5),"1,29 km²","69,89 habitante por quilômetro quadrado","5,3 %","97,5 %",Arranjo Populacional de Sobral/CE - Capital Regional C (2C),Sobral
Palhano,cearense,638,"10443,35 R$",9346 pessoas,Centro Local (5),"2,57 km²","21,39 habitante por quilômetro quadrado","2,8 %","89,7 %",Russas - Centro Subregional B (3B),Quixadá
Palmácia,cearense,622,"8494,35 R$",10242 pessoas,Centro Local (5),"1,03 km²","79,46 habitante por quilômetro quadrado","9,9 %","91,5 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Fortaleza
Paracuru,cearense,637,"15648,56 R$",38980 pessoas,Centro Local (5),"18,60 km²","127,91 habitante por quilômetro quadrado","4,1 %","74,8 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Fortaleza
Paraipaba,cearense,634,"16102,82 R$",32216 pessoas,Centro Local (5),"8,73 km²","111,39 habitante por quilômetro quadrado","5,3 %","79,9 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Fortaleza
Parambu,cearense,570,"9196,54 R$",31445 pessoas,Centro Local (5),"5,69 km²","13,59 habitante por quilômetro quadrado","21,3 %","96,9 %",Tauá - Centro de Zona B (4B),Crateús
Paramoti,cearense,583,"9034,57 R$",10384 pessoas,Centro Local (5),"1,24 km²","19,26 habitante por quilômetro quadrado","6,6 %","99,7 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Fortaleza
Pedra Branca,cearense,603,"8992,69 R$",40187 pessoas,Centro Local (5),"4,44 km²","30,86 habitante por quilômetro quadrado","12,4 %","84,6 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Quixadá
Penaforte,cearense,646,"13268,38 R$",8972 pessoas,Centro Local (5),"1,34 km²","59,60 habitante por quilômetro quadrado","1,3 %",95 %,Arranjo Populacional de Juazeiro do Norte/CE - Capital Regional B (2B),Juazeiro do Norte
Pentecoste,cearense,629,"12741,76 R$",37813 pessoas,Centro Local (5),"5,36 km²","27,40 habitante por quilômetro quadrado","6,3 %","93,3 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Fortaleza
Pereiro,cearense,601,"34273,12 R$",15274 pessoas,Centro Local (5),"1,87 km²","35,04 habitante por quilômetro quadrado","11,3 %","90,4 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Quixadá
Pindoretama,cearense,636,"13110,66 R$",23391 pessoas,Centro Local (5),"10,82 km²","315,95 habitante por quilômetro quadrado","2,7 %","78,1 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Fortaleza
Piquet Carneiro,cearense,600,"9418,47 R$",16616 pessoas,Centro Local (5),"1,66 km²","28,18 habitante por quilômetro quadrado","0,6 %","93,4 %",Iguatu - Centro Subregional A (3A)\; Mombaça - Centro de Zona B (4B),Iguatu
Pires Ferreira,cearense,591,"7621,25 R$",10606 pessoas,Centro Local (5),"1,83 km²","43,38 habitante por quilômetro quadrado",0 %,"82,1 %",Ipu - Centro de Zona B (4B),Sobral
Poranga,cearense,581,"8852,69 R$",12065 pessoas,Centro Local (5),"3,28 km²","9,20 habitante por quilômetro quadrado","2,6 %","94,9 %",Crateús - Centro Subregional B (3B),Crateús
Porteiras,cearense,622,"12491,62 R$",17050 pessoas,Centro Local (5),"5,01 km²","75,82 habitante por quilômetro quadrado","9,5 %","93,3 %",Brejo Santo - Centro de Zona A (4A),Juazeiro do Norte
Potengi,cearense,562,"9903,27 R$",8833 pessoas,Centro Local (5),"1,68 km²","25,73 habitante por quilômetro quadrado","0,2 %","96,3 %",Arranjo Populacional de Juazeiro do Norte/CE - Capital Regional B (2B),Juazeiro do Norte
Potiretama,cearense,604,"14998,54 R$",5974 pessoas,Centro Local (5),"1,19 km²","14,60 habitante por quilômetro quadrado",0 %,"98,5 %",Limoeiro do Norte - Centro Subregional B (3B),Quixadá
Quiterianópolis,cearense,594,"8694,35 R$",20213 pessoas,Centro Local (5),"3,33 km²","19,40 habitante por quilômetro quadrado","1,9 %","95,5 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Crateús
Quixadá,cearense,659,"12484,6 R$",84168 pessoas,Centro Subregional B (3B),"11,27 km²","41,66 habitante por quilômetro quadrado","10,3 %","84,8 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Quixadá
Quixelô,cearense,591,"12336,81 R$",15910 pessoas,Centro Local (5),"2,41 km²","26,28 habitante por quilômetro quadrado","14,3 %","96,7 %",Iguatu - Centro Subregional A (3A),Iguatu
Quixeramobim,cearense,642,"17008,8 R$",82177 pessoas,Centro de Zona A (4A),"11,87 km²","24,71 habitante por quilômetro quadrado","5,4 %","84,1 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Quixadá
Quixeré,cearense,622,"28397,62 R$",20874 pessoas,Centro Local (5),"5,58 km²","34,05 habitante por quilômetro quadrado","1,1 %","96,3 %",Limoeiro do Norte - Centro Subregional B (3B),Quixadá
Redenção,cearense,626,"14018,29 R$",27214 pessoas,Centro Local (5) - Município integrante do Arranjo Populacional de Redenção - Acarape/CE,"6,90 km²","109,74 habitante por quilômetro quadrado","0,6 %","91,4 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Fortaleza
Reriutaba,cearense,601,"10433,27 R$",18606 pessoas,Centro Local (5),"3,42 km²","49,89 habitante por quilômetro quadrado","8,4 %","97,9 %",Arranjo Populacional de Sobral/CE - Capital Regional C (2C),Sobral
Russas,cearense,674,"14563,46 R$",72928 pessoas,Centro Subregional B (3B),"21,73 km²","45,27 habitante por quilômetro quadrado",2 %,95 %,Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Quixadá
Saboeiro,cearense,575,"10779,74 R$",13854 pessoas,Centro Local (5),"1,45 km²","10,03 habitante por quilômetro quadrado","0,2 %",97 %,Arranjo Populacional de Juazeiro do Norte/CE - Capital Regional B (2B),Iguatu
Salitre,cearense,540,"9529,97 R$",16633 pessoas,Centro Local (5),"2,14 km²","20,63 habitante por quilômetro quadrado",3 %,"84,7 %",Arranjo Populacional de Juazeiro do Norte/CE - Capital Regional B (2B),Juazeiro do Norte
Santa Quitéria,cearense,616,"14495,07 R$",40183 pessoas,Centro de Zona B (4B),"5,44 km²","9,43 habitante por quilômetro quadrado","7,4 %","80,5 %",Arranjo Populacional de Sobral/CE - Capital Regional C (2C),Sobral
Santana do Acaraú,cearense,587,"8525,54 R$",30628 pessoas,Centro Local (5),"3,06 km²","31,49 habitante por quilômetro quadrado","5,6 %","88,1 %",Arranjo Populacional de Sobral/CE - Capital Regional C (2C),Sobral
Santana do Cariri,cearense,612,"8985,52 R$",16954 pessoas,Centro Local (5),"2,56 km²","19,83 habitante por quilômetro quadrado",0 %,69 %,Arranjo Populacional de Juazeiro do Norte/CE - Capital Regional B (2B),Juazeiro do Norte
São Benedito,cearense,611,"12970,59 R$",47640 pessoas,Centro de Zona A (4A),"13,38 km²","135,79 habitante por quilômetro quadrado","3,7 %","72,5 %",Tianguá - Centro Subregional B (3B),Sobral
São Gonçalo do Amarante,cearense,665,"175103,17 R$",54143 pessoas,Centro de Zona A (4A),"27,06 km²","64,25 habitante por quilômetro quadrado","1,1 %","54,6 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Fortaleza
São João do Jaguaribe,cearense,654,"14277,9 R$",5855 pessoas,Centro Local (5),"1,55 km²","20,95 habitante por quilômetro quadrado",7 %,"97,4 %",Limoeiro do Norte - Centro Subregional B (3B),Quixadá
São Luís do Curu,cearense,620,"10171,88 R$",10822 pessoas,Centro Local (5),"2,60 km²","88,08 habitante por quilômetro quadrado","11,7 %","90,2 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Fortaleza
Senador Pompeu,cearense,619,"13859,14 R$",24266 pessoas,Centro Local (5),"3,37 km²","25,36 habitante por quilômetro quadrado","11,9 %","90,8 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Quixadá
Senador Sá,cearense,603,"8090,43 R$",7262 pessoas,Centro Local (5),"1,33 km²","17,10 habitante por quilômetro quadrado","2,7 %","91,5 %",Arranjo Populacional de Sobral/CE - Capital Regional C (2C),Sobral
Sobral,cearense,714,"25396,38 R$",203023 pessoas,Capital Regional C (2C) - Município integrante do Arranjo Populacional de Sobral/CE,"31,17 km²","98,15 habitante por quilômetro quadrado","11,9 %","92,2 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Sobral
Solonópole,cearense,625,"16492,67 R$",18179 pessoas,Centro Local (5),"1,73 km²","11,84 habitante por quilômetro quadrado","2,6 %","96,1 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Quixadá
Tabuleiro do Norte,cearense,645,"14046,37 R$",30652 pessoas,Centro Local (5),"6,22 km²","29,26 habitante por quilômetro quadrado","2,4 %","92,8 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Quixadá
Tamboril,cearense,580,"10773,18 R$",24815 pessoas,Centro Local (5),"3,79 km²","12,32 habitante por quilômetro quadrado","4,8 %","97,4 %",Crateús - Centro Subregional B (3B),Crateús
Tarrafas,cearense,576,"10015,43 R$",7529 pessoas,Centro Local (5),"1,85 km²","18,24 habitante por quilômetro quadrado",0 %,"94,4 %",Arranjo Populacional de Juazeiro do Norte/CE - Capital Regional B (2B),Juazeiro do Norte
Tauá,cearense,633,"12012,28 R$",61227 pessoas,Centro de Zona B (4B),"10,29 km²","15,27 habitante por quilômetro quadrado","11,6 %","90,8 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Crateús
Tejuçuoca,cearense,584,"7006,68 R$",17154 pessoas,Centro Local (5),"2,94 km²","22,61 habitante por quilômetro quadrado",45 %,"91,6 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Fortaleza
Tianguá,cearense,657,"22470,08 R$",81506 pessoas,Centro Subregional B (3B),"18,88 km²","89,58 habitante por quilômetro quadrado","4,2 %","75,3 %",Arranjo Populacional de Sobral/CE - Capital Regional C (2C),Sobral
Trairi,cearense,606,"19683,75 R$",58415 pessoas,Centro Local (5),"14,72 km²","62,90 habitante por quilômetro quadrado","3,2 %","70,1 %",Arranjo Populacional de Fortaleza/CE - Metrópole (1C),Fortaleza
Tururu,cearense,606,"8324,01 R$",15412 pessoas,Centro Local (5),"4,07 km²","76,57 habitante por quilômetro quadrado","6,7 %","89,2 %",Itapipoca - Centro Subregional B (3B),Fortaleza
Ubajara,cearense,648,"18190,85 R$",32767 pessoas,Centro Local (5),"10,04 km²","77,34 habitante por quilômetro quadrado","10,2 %","75,8 %",Tianguá - Centro Subregional B (3B),Sobral
Umari,cearense,591,"8971,66 R$",6871 pessoas,Centro Local (5),"0,92 km²","26,11 habitante por quilômetro quadrado",3 %,"95,9 %",Icó - Centro de Zona A (4A)\; Cajazeiras - Centro Subregional A (3A),Iguatu
Umirim,cearense,587,"8650,25 R$",17470 pessoas,Centro Local (5),"2,94 km²","55,35 habitante por quilômetro quadrado","8,2 %","94,8 %",Itapipoca - Centro Subregional B (3B),Fortaleza
Uruburetama,cearense,639,"13475,87 R$",20189 pessoas,Centro Local (5),"2,68 km²","203,11 habitante por quilômetro quadrado",22 %,"92,3 %",Itapipoca - Centro Subregional B (3B),Fortaleza
Uruoca,cearense,566,"21318,78 R$",13746 pessoas,Centro Local (5),"1,81 km²","19,70 habitante por quilômetro quadrado","5,1 %","93,6 %",Arranjo Populacional de Sobral/CE - Capital Regional C (2C),Sobral
Varjota,cearense,611,"20292,61 R$",18105 pessoas,Centro Local (5),"4,07 km²","101,01 habitante por quilômetro quadrado","5,5 %","97,9 %",Arranjo Populacional de Sobral/CE - Capital Regional C (2C),Sobral
Várzea Alegre,cearense,629,"11395,42 R$",38984 pessoas,Centro Local (5),"6,31 km²","46,97 habitante por quilômetro quadrado",5 %,"93,4 %",Arranjo Populacional de Juazeiro do Norte/CE - Capital Regional B (2B),Juazeiro do Norte
Viçosa do Ceará,cearense,571,"9744,18 R$",59712 pessoas,Centro Local (5),"16,03 km²","45,55 habitante por quilômetro quadrado","4,1 %","77,3 %",Tianguá - Centro Subregional B (3B),Sobral